1264.0,2017-04-19 18:04:52.889,90.0,2069.0,5469.0
1265.0,2017-04-19 18:04:59.099,96.55,2070.0,5462.0
1266.0,2017-04-19 18:04:59.265,90.0,2069.0,5462.0
1267.0,2017-04-19 18:05:07.163,79.31,2070.0,5470.0
1268.0,2017-04-19 18:08:32.779,50.0,2069.0,5470.0
1269.0,2017-04-19 18:05:12.301,89.66,2070.0,5463.0
1270.0,2017-04-19 18:08:53.782,100.0,2069.0,5463.0
1271.0,2017-04-19 18:05:17.469,89.66,2070.0,5466.0
1272.0,2017-04-19 18:05:17.891,90.0,2069.0,5466.0
1273.0,2017-04-19 18:05:20.757,89.66,2070.0,5461.0
1274.0,2017-04-19 18:05:21.09,90.0,2069.0,5461.0
1275.0,2017-04-19 18:05:24.971,89.66,2070.0,5468.0
1276.0,2017-04-19 18:05:25.322,80.0,2069.0,5468.0
1277.0,2017-04-19 18:05:29.757,0.0,2070.0,5500.0
1278.0,2017-04-19 18:05:37.265,89.66,2070.0,5456.0
1279.0,2017-04-19 18:05:40.695,90.0,2069.0,5456.0
1280.0,2017-04-19 18:05:44.75,89.66,2070.0,5464.0
1281.0,2017-04-19 18:05:45.406,100.0,2069.0,5464.0
1282.0,2017-04-19 18:05:50.673,89.66,2070.0,5458.0
1283.0,2017-04-19 18:05:51.489,90.0,2069.0,5458.0
1284.0,2017-04-19 18:06:51.199,93.1,2070.0,5465.0
1291.0,2017-04-19 18:17:16.13,75.0,2073.0,5463.0
1292.0,2017-04-19 18:17:20.146,74.6,2071.0,5463.0
1293.0,2017-04-19 18:17:21.848,80.0,2072.0,5463.0
1294.0,2017-04-19 18:17:26.308,50.0,2073.0,5473.0
1295.0,2017-04-19 18:17:28.133,84.13,2071.0,5473.0
1296.0,2017-04-19 18:17:28.751,100.0,2072.0,5473.0
1297.0,2017-04-19 18:17:31.219,75.0,2073.0,5461.0
1298.0,2017-04-19 18:17:35.016,87.3,2071.0,5461.0
1299.0,2017-04-19 18:17:35.642,100.0,2072.0,5461.0
2050.0,2017-04-19 18:17:44.42,50.0,2073.0,5457.0
2051.0,2017-04-19 18:17:46.838,66.67,2071.0,5457.0
2052.0,2017-04-19 18:17:47.35,80.0,2072.0,5457.0
2053.0,2017-04-19 18:17:49.24,75.0,2073.0,5460.0
2054.0,2017-04-19 18:17:51.303,76.19,2071.0,5460.0
2055.0,2017-04-19 18:17:52.023,90.0,2072.0,5460.0
2056.0,2017-04-19 18:17:54.002,100.0,2073.0,5456.0
2057.0,2017-04-19 18:17:56.213,93.65,2071.0,5456.0
2058.0,2017-04-19 18:17:56.885,100.0,2072.0,5456.0
2059.0,2017-04-19 18:17:58.887,100.0,2073.0,5458.0
2060.0,2017-04-19 18:18:00.887,82.54,2071.0,5458.0
2061.0,2017-04-19 18:18:01.379,90.0,2072.0,5458.0
2062.0,2017-04-19 18:18:10.084,75.0,2073.0,5465.0
2063.0,2017-04-19 18:18:12.281,84.13,2071.0,5465.0
2064.0,2017-04-19 18:18:12.755,90.0,2072.0,5465.0
2068.0,2017-04-19 18:21:22.971,90.0,2069.0,5540.0
2069.0,2017-04-19 18:21:23.688,100.0,2070.0,5540.0
2148.0,2017-04-19 18:30:43.157,90.0,2078.0,5463.0
2149.0,2017-04-19 18:30:44.324,100.0,2079.0,5463.0
2150.0,2017-04-19 18:30:45.574,77.5,2077.0,5463.0
2151.0,2017-04-19 18:30:49.435,0.0,2078.0,5473.0
2192.0,2017-04-19 18:34:13.129,90.0,2082.0,5463.0
2193.0,2017-04-19 18:35:13.278,90.0,2082.0,5459.0
2194.0,2017-04-19 18:34:15.165,100.0,2080.0,5463.0
2195.0,2017-04-19 18:34:17.566,79.31,2081.0,5463.0
