"BATTERY_ID","BATTERY_GROUP"
293020,115506
293025,115506
293029,115506
293030,115506
293031,115506
293032,115506
293033,115506
293036,115506
293041,115504
293042,115507
293043,115507
293044,115507
293045,115507
293046,115507
293049,115507
294003,115507
294005,115507
294006,115507
294007,115507
294014,115507
294018,115507
294020,115507
294022,115507
294024,115507
294026,115507
294027,115507
294028,115507
294029,115507
294033,115507
294035,115507
294036,115507
294038,115504
294039,115508
294040,115508
294041,115508
294042,115508
294043,115508
294044,115508
285036,113507
285037,113507
285038,113507
285039,113507
285040,113507
285041,113507
285042,113507
285043,113507
285044,113508
285045,113508
285046,113508
285047,113508
285048,113508
285049,113508
286000,113508
286001,113508
286002,113508
286003,113508
286004,113508
286005,113508
286006,113508
286030,113510
286031,113510
286028,113510
286029,113510
286033,113510
286038,113510
286039,113510
286043,113510
286045,113510
286047,113510
286060,113510
286062,113510
286064,113510
286069,113510
286071,113510
286075,113510
286076,113511
286077,113511
286078,113511
286079,113511
286080,113511
286081,113511
286082,113511
286083,113511
286084,113511
286086,113511
286087,113511
286088,113511
286089,113511
286090,113511
286091,113511
286092,113511
286093,113511
286094,113511
286096,113511
286097,113511
286098,113511
286099,113511
286100,113511
286101,113511
286102,113511
286104,113511
286105,113513
286106,113513
286107,113513
286108,113513
286109,113513
286110,113513
286111,113513
286112,113513
286113,113513
286114,113513
286115,113513
286116,113513
286117,113513
286118,113513
286120,113515
286121,113515
286124,113515
286125,113515
286127,113515
286131,113515
286134,113515
286135,113515
286136,113515
286137,113515
286138,113515
286139,113515
286141,113516
286145,113516
286147,113516
286148,113516
287004,113516
287008,113516
287016,113516
287018,113516
287021,113516
287023,113516
287024,113516
287026,113516
287028,113516
287031,113516
287032,113516
287033,113516
287034,113516
287035,113516
287039,113516
287040,113516
287042,113516
287044,113516
288013,114501
288012,114501
288017,114501
288015,114501
288020,114501
288018,114501
288021,114501
288023,114502
288024,114502
288025,114502
288026,114502
288027,114502
288031,114502
288032,114502
288033,114502
288035,114502
288036,114502
288041,114502
288042,114502
288043,114502
288044,114502
288045,114502
288046,114502
288048,114503
288049,114503
289000,114503
289001,114503
289002,114503
289004,114503
289006,114503
289007,114503
289008,114503
289009,114503
289011,114503
289017,114503
289019,114503
289021,114503
289022,114503
289023,114503
289024,114503
289026,114503
289031,114503
289034,114503
289035,114503
289041,114503
289042,114503
289045,114503
290003,115500
290006,115500
290009,115500
290010,115500
290011,115500
290013,115500
290016,115500
290023,115500
290026,115500
290030,115500
290036,115500
290037,115500
290038,115500
290040,115500
290041,115500
290042,115500
290043,115500
290044,115500
290045,115500
290046,115500
290078,115502
290080,115502
290081,115502
290082,115502
290083,115502
290084,115502
290085,115502
290086,115502
290087,115502
290088,115502
290090,115502
290091,115502
290077,115502
290093,115502
290099,115502
291000,115502
291001,115502
291002,115502
291005,115503
291006,115503
291008,115503
291009,115503
291010,115503
291013,115503
294045,115508
294046,115508
294047,115508
294048,115508
294049,115508
295000,115508
295003,115509
295009,115509
295012,115509
295014,115509
295016,115509
295017,115509
295023,115509
295027,115509
295035,115509
295038,115509
295042,115509
295043,115509
295047,115509
295045,115509
295048,115509
295049,115509
296001,115509
296002,115509
296003,115509
296005,115509
296006,115509
296007,115509
296010,115509
296011,115509
296014,115509
297002,116500
297004,116500
297003,116500
297005,116500
297008,116500
297011,116500
297012,116500
297013,116500
297017,116500
297022,116500
297023,116500
297025,116500
297028,116500
297029,116500
297035,116500
297037,116500
297039,116500
297041,116500
297042,116500
297043,116500
297044,116500
297045,116500
297048,116500
297050,116500
297053,116500
297054,116500
297055,116500
297061,115509
297063,116502
297064,116502
297068,116502
297071,116502
297073,116502
297074,116502
297077,116502
297078,116502
297080,116502
297082,116502
297083,116502
297086,116502
297089,116502
297090,116502
299005,116504
299008,116504
299009,116504
299010,116504
299012,116504
299018,116504
299019,116504
299020,116504
299021,116504
299025,116504
299026,116504
299028,116504
299030,116504
299032,116504
299036,116504
